	Tháng		Tháng		Tháng		Tháng		Tháng		Tháng		Tháng		Tháng		Tháng			
GMB Brands	1		2		3		4		5		6		7		8		9		Total T?ng bán	Total T?ng t?n
Row Labels	T?ng bán	T?ng t?n	T?ng bán	T?ng t?n	T?ng bán	T?ng t?n	T?ng bán	T?ng t?n	T?ng bán	T?ng t?n	T?ng bán	T?ng t?n	T?ng bán	T?ng t?n	T?ng bán	T?ng t?n	T?ng bán	T?ng t?n		
GWD-32A						20												48		68
GWHO-60A				20	5	15		15		15		15		15		15	3	12	8	122
GWHO-63A				20	3	17		17		17		17		17		17		17	3	139
GWIS-25A																	10	0	10	0
GWIS-44A																	7	13	7	13
GWIS-50A					10	10	6	4		4		4		4		4		4	16	34
GWM-100A					3	7													3	7
GWM-40A					5	15	11	4		4		4		4		4	1	3	17	38
GWM-52A																	10	0	10	0
GWM-91A				30	3	27	5	22		22		22		22		22		22	8	189
GWMZ-38A		2		2		2		2		2		2		2		2		2		18
GWMZ-39A																	10	0	10	0
GWMZ-41A																	15	5	15	5
GWMZ-49A					15	25											7	293	22	318
GWMZ-54A					3	17		17		17		17		17		17		17	3	119
GWMZ-57A					3	17	5	12		12		12		12		12	3	18	11	95
GWMZ-58A			1	29	2	27	8	22		22	5	17		17		17	5	39	21	190
GWN-90A																	18	12	18	12
GWS-11A																	25	175	25	175
GWS-16A																	17	3	17	3
GWT-101A																	94	27	94	27
GWT-116AH																	5	25	5	25
GWT-119A					5	95	27	68	6	63	2	61		61		61	26	55	66	464
GWT-131A					17	83	29	54	5	53	17	36	5	31	14	17			87	274
GWT-144A					5	15		15		15	2	13	1	12	1	11	8	13	17	94
GWT-145A					5	25	15	10		10	1	9		9		9	11	4	32	76
GWT-149A				40	8	32	4	29		29		29		29		29		29	12	246
GWT-151A					3	2													3	2
GWT-151AM																		20		20
GWT-157A					10	20	16	4	2	2							6	47	34	73
GWT-162A																	19	81	19	81
GWT-60A																	38	22	38	22
GWT-64A					1	19	3	16	1	15		15		15		15		15	5	110
GWT-77A					3	17											15	125	18	142
GWT-85A						10														10
GWT-87A						20		20		20		20		20		20		20		140
GWT-92A																	9	11	9	11
GWT-96A						100	23	77	20	57	19	38	8	30	22	8	8	0	100	310
GWT-98A					5	15	5	10		10	2	8	1	7		7	15	42	28	99
GWT-99A					2	18	7	11	3	8		8	1	7	1	6	5	31	19	89
Grand Total		2	1	141	116	670	164	429	37	397	48	347	16	331	38	293	390	1250	810	3860
