ID,Month,Tổng bán,Tổng tồn
GWD-32A,3,,20
GWD-32A,9,,48
GWHO-60A,2,,20
GWHO-60A,3,5,15
GWHO-60A,4,,15
GWHO-60A,5,,15
GWHO-60A,6,,15
GWHO-60A,7,,15
GWHO-60A,8,,15
GWHO-60A,9,3,12
GWHO-63A,2,,20
GWHO-63A,3,3,17
GWHO-63A,4,,17
GWHO-63A,5,,17
GWHO-63A,6,,17
GWHO-63A,7,,17
GWHO-63A,8,,17
GWHO-63A,9,,17
GWIS-25A,9,10,0
GWIS-44A,9,7,13
GWIS-50A,3,10,10
GWIS-50A,4,6,4
GWIS-50A,5,,4
GWIS-50A,6,,4
GWIS-50A,7,,4
GWIS-50A,8,,4
GWIS-50A,9,,4
GWM-100A,3,3,7
GWM-40A,3,5,15
GWM-40A,4,11,4
GWM-40A,5,,4
GWM-40A,6,,4
GWM-40A,7,,4
GWM-40A,8,,4
GWM-40A,9,1,3
GWM-52A,9,10,0
GWM-91A,2,,30
GWM-91A,3,3,27
GWM-91A,4,5,22
GWM-91A,5,,22
GWM-91A,6,,22
GWM-91A,7,,22
GWM-91A,8,,22
GWM-91A,9,,22
GWMZ-38A,1,,2
GWMZ-38A,2,,2
GWMZ-38A,3,,2
GWMZ-38A,4,,2
GWMZ-38A,5,,2
GWMZ-38A,6,,2
GWMZ-38A,7,,2
GWMZ-38A,8,,2
GWMZ-38A,9,,2
GWMZ-39A,9,10,0
GWMZ-41A,9,15,5
GWMZ-49A,3,15,25
GWMZ-49A,9,7,293
GWMZ-54A,3,3,17
GWMZ-54A,4,,17
GWMZ-54A,5,,17
GWMZ-54A,6,,17
GWMZ-54A,7,,17
GWMZ-54A,8,,17
GWMZ-54A,9,,17
GWMZ-57A,3,3,17
GWMZ-57A,4,5,12
GWMZ-57A,5,,12
GWMZ-57A,6,,12
GWMZ-57A,7,,12
GWMZ-57A,8,,12
GWMZ-57A,9,3,18
GWMZ-58A,2,1,29
GWMZ-58A,3,2,27
GWMZ-58A,4,8,22
GWMZ-58A,5,,22
GWMZ-58A,6,5,17
GWMZ-58A,7,,17
GWMZ-58A,8,,17
GWMZ-58A,9,5,39
GWN-90A,9,18,12
GWS-11A,9,25,175
GWS-16A,9,17,3
GWT-101A,9,94,27
GWT-116AH,9,5,25
GWT-119A,3,5,95
GWT-119A,4,27,68
GWT-119A,5,6,63
GWT-119A,6,2,61
GWT-119A,7,,61
GWT-119A,8,,61
GWT-119A,9,26,55
GWT-131A,3,17,83
GWT-131A,4,29,54
GWT-131A,5,5,53
GWT-131A,6,17,36
GWT-131A,7,5,31
GWT-131A,8,14,17
GWT-144A,3,5,15
GWT-144A,4,,15
GWT-144A,5,,15
GWT-144A,6,2,13
GWT-144A,7,1,12
GWT-144A,8,1,11
GWT-144A,9,8,13
GWT-145A,3,5,25
GWT-145A,4,15,10
GWT-145A,5,,10
GWT-145A,6,1,9
GWT-145A,7,,9
GWT-145A,8,,9
GWT-145A,9,11,4
GWT-149A,2,,40
GWT-149A,3,8,32
GWT-149A,4,4,29
GWT-149A,5,,29
GWT-149A,6,,29
GWT-149A,7,,29
GWT-149A,8,,29
GWT-149A,9,,29
GWT-151A,3,3,2
GWT-151AM,9,,20
GWT-157A,3,10,20
GWT-157A,4,16,4
GWT-157A,5,2,2
GWT-157A,9,6,47
GWT-162A,9,19,81
GWT-60A,9,38,22
GWT-64A,3,1,19
GWT-64A,4,3,16
GWT-64A,5,1,15
GWT-64A,6,,15
GWT-64A,7,,15
GWT-64A,8,,15
GWT-64A,9,,15
GWT-77A,3,3,17
GWT-77A,9,15,125
GWT-85A,3,,10
GWT-87A,3,,20
GWT-87A,4,,20
GWT-87A,5,,20
GWT-87A,6,,20
GWT-87A,7,,20
GWT-87A,8,,20
GWT-87A,9,,20
GWT-92A,9,9,11
GWT-96A,3,,100
GWT-96A,4,23,77
GWT-96A,5,20,57
GWT-96A,6,19,38
GWT-96A,7,8,30
GWT-96A,8,22,8
GWT-96A,9,8,0
GWT-98A,3,5,15
GWT-98A,4,5,10
GWT-98A,5,,10
GWT-98A,6,2,8
GWT-98A,7,1,7
GWT-98A,8,,7
GWT-98A,9,15,42
GWT-99A,3,2,18
GWT-99A,4,7,11
GWT-99A,5,3,8
GWT-99A,6,,8
GWT-99A,7,1,7
GWT-99A,8,1,6
GWT-99A,9,5,31
