ID Khách hàng,Class_Customer,Tổng giá trị hợp đồng,Tổng Nợ,Tổng Thanh toán,Tổng Doanh số,Average of Tỷ lệ thanh toán
KL-QUANGSAIGON,VIP,140650000,135050000,5600000,3289105000,3.98%
KIET-CHUBA,VIP,525780000,525484000,296000,2832104000,0.04%
CHPT-ANNHIEN,VIP,396910080,392980080,3930000,2492206000,1.03%
ASCSG,VIP,168294000,166734000,1560000,1907479000,0.93%
THANGSAU,VIP,70410000,46250000,24160000,1838630000,34.31%
HUUHANH,VIP,160000000,159650000,350000,1570915000,38.89%
NN-QUYEN,VIP,634036300,628110300,5926000,1513980300,1.04%
ANGAU,VIP,456811000,419916851,36894149,1347906000,8.29%
KAIZEN,A+,100905000,100505000,400000,1233709000,0.40%
KHACHLE-HOANVU,A+,11000000,10810000,190000,1093505000,7.92%
ANHCUONG,A+,218210000,201260000,16950000,1083363000,7.77%
PHUTUNGATSG,A+,172282730,170170076,2112654,990585400,1.08%
HTAUTOHN,A+,291342680,270336680,21006000,888681000,7.07%
HAHAU,A+,399080000,299208000,99872000,848940000,13.64%
DAIDUONG,A,157884000,156684000,1200000,725228000,1.11%
ANHTAN,A,152416000,151657000,759000,723665000,0.74%
PHUSY,A,128020000,127300000,720000,626984000,0.46%
ANHCHINH-AT,A,36240000,32384000,3856000,604933000,10.64%
NN-ANHHIEU,A,101775000,100249600,1525400,599063000,1.80%
TRITIN,A,63330000,61990000,1340000,562412000,1.19%
ANHTHAI,A,107200000,107073520,126480,543454000,0.12%
ANHPHONG,A,105203000,93620000,11583000,514079000,20.62%
ANHLONGBMT,A,75250000,72090000,3160000,463074000,6.82%
QUOCHUY,A,39932000,38832000,1100000,447096000,2.75%
NN-HOANGPHATTIEN,A,88710000,88483000,227000,435135000,0.47%
ATUSG,A,72600000,72200000,400000,412100000,1.05%
PHUTHONG,A,173740000,163260000,10480000,411860000,1.39%
AEA,B,58687000,58567000,120000,409523000,0.20%
KL-DUCVIET,B,119100000,96150000,22950000,390850000,17.47%
CHITHUYBD,B,94429000,86729000,7700000,385149000,21.12%
KL-ANHTINHCT,B,8120000,1450000,6670000,365835000,82.14%
TRUNGBMT,B,111776750,110465040,1311710,340864000,0.71%
HUYNHTANVT,B,37110000,31570000,5540000,326250000,49.64%
KL-NHATBENTHANH,B,86238000,85698000,540000,317303000,1.78%
NAMPHAT,B,17880000,17386530,493470,297513000,2.76%
HUNGLOI-CT,B,73390000,72690000,700000,289640000,1.02%
DUCBMT,B,62780000,62606400,173600,272956000,0.26%
PHUCTHANH,B,41780000,38080000,3700000,267180000,8.36%
NN-HUNGTHINH-TN,B,103250000,93100000,10150000,263150000,7.85%
GARAHIEPTHANH,B,66868800,66668800,200000,222933000,0.20%
GARAGETHANHTAI,B,16430000,15380000,1050000,210755000,6.39%
KL-BATHANH,B,11130000,8765000,2365000,196843000,17.72%
NN-ANHTUYEN_BH,B,13730000,13530000,200000,164960000,1.46%
KL-TIENPHAT,B,2410000,1770000,640000,155750000,30.48%
NN-FUSON,B,18960000,10710000,8250000,155160000,41.04%
CHPT-HOANGLONG,C,24611000,23611000,1000000,133346000,11.11%
KL-CCMFAST,C,5310000,4305000,1005000,104751000,22.95%
TANHA,C,4900000,100000,4800000,87240000,97.96%
KL-GARAPHONG,C,14550000,11290000,3260000,85110000,17.53%
KL-KEOMAI,C,3200000,20000,3180000,75000000,99.38%
KL-MAST-SG,C,50830000,23566000,27264000,69070000,23.54%
ANHDUNG-DT,C,63188874,50938874,12250000,63188874,10.82%
KL-SYGL,C,1870000,1220000,650000,27908000,34.76%
QUANGHUNGCT,C,1880000,500000,1380000,1880000,73.40%
